('INTERNALID','ROUTES_161'),
('E06410','69'),
('E06420','67'),
('E06420','69'),
('E06440','67'),
('E06440','69'),
('E06460','67'),
('E06460','69'),
('E06370','67'),
('E06370','69'),
('E06430','67'),
('E06430','69'),
('E06490','67'),
('E06490','69'),
('E70904','61A'),
('E70897','61A'),
('E06660','28X'),
('E06660','54'),
('E06660','58'),
('S06275','54'),
('S06270','44'),
('S06270','54'),
('S06271','54'),
('X01250','43'),
('X01260','43'),
('X01270','43'),
('S06273','54'),
('S06274','54'),
('X01280','43'),
('S06276','54'),
('S70312','54'),
('S06290','44'),
('S06290','54'),
('X01290','43'),
('S06280','44'),
('S06280','54'),
('S06300','44'),
('S06300','54'),
('E07030','81'),
('E06970','81'),
('E06917','81'),
('E70066','81'),
('E06950','81'),
('E06940','81'),
('E07000','81'),
('E07050','81'),
('E70798','81'),
('N71299','17'),
('N71300','17'),
('N71285','17'),
('N71301','17'),
('S06305','54'),
('W01830','26'),
('W01885','26'),
('W01860','26'),
('W01870','26'),
('E07170','59'),
('E07170','68'),
('E07170','P68'),
('E07190','68'),
('E07190','P68'),
('N71275','91'),
('N71276','91'),
('E07250','P16'),
('E07340','P16'),
('E07350','P16'),
('E07500','P16'),
('X01550','36'),
('X01580','36'),
('X01590','36'),
('X01600','36'),
('X01610','36'),
('X01620','36'),
('X01640','36'),
('X01650','36'),
('X01660','36'),
('E07550','77'),
('E07600','77'),
('E07630','77'),
('E07670','77'),
('E07770','77'),
('E07790','77'),
('E07800','77'),
('E07870','58'),
('E07890','58'),
('E07880','58'),
('E70403','58'),
('E07910','58'),
('E07920','58'),
('E07915','58'),
('N09490','11'),
('N09500','11'),
('E08056','89'),
('E08050','89'),
('E08046','89'),
('E08045','89'),
('E08051','89'),
('N09501','12'),
('N09506','12'),
('S70450','Y45'),
('S35980','Y45'),
('S32920','Y45'),
('S35900','Y45'),
('S35905','Y45'),
('S70449','Y45'),
('S06490','Y45'),
('S06480','Y45'),
('S06500','Y45'),
('E08070','65'),
('E08090','58'),
('E08090','65'),
('E08090','93'),
('E08130','65'),
('E08130','93'),
('E08120','58'),
('E08120','65'),
('E08120','93'),
('E08140','58'),
('E08140','65'),
('E08140','93'),
('E08150','58'),
('E08150','65'),
('E08150','93'),
('E08160','28X'),
('E08160','65'),
('E08160','67'),
('E08160','69'),
('E08170','65'),
('E08180','65'),
('E08180','93'),
('E08210','65'),
('E08240','28X'),
('E08240','65'),
('P01240','52L'),
('P01240','53L'),
('P01240','56'),
('P01240','57'),
('P01240','58'),
('E08260','65'),
('P01260','65'),
('P01260','67'),
('P01260','69'),
('P01290','52L'),
('P01290','53L'),
('P01290','56'),
('P01290','57'),
('P01290','58'),
('E08330','65'),
('E08350','58'),
('E08350','65'),
('E08350','93'),
('E08360','58'),
